# Time	Total	Path1	Path2
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	190186880	190186880	0
15	200455968	200455968	0
16	199388025	199388025	0
17	194773410	194773410	0
18	189553172	189553172	0
19	196194521	196194521	0
20	194602805	194602805	0
21	194401875	194401875	0
22	201328523	201328523	0
23	216511264	216511264	0
24	219284473	219284473	0
25	213133359	213133359	0
26	202087823	202087823	0
27	195638294	195638294	0
28	201261440	201261440	0
29	212086060	212086060	0
30	212086788	212086788	0
31	212088625	212088625	0
32	212087801	212087801	0
33	212090715	212090715	0
34	212092388	212092388	0
35	194556375	194556375	0
36	207088756	207088756	0
37	205709061	205709061	0
38	202526595	202526595	0
39	204837083	204837083	0
40	207764522	207764522	0
41	205122508	205122508	0
42	204836628	204836628	0
43	215720997	215720997	0
44	398675299	398675299	0
45	403261454	403261454	0
46	406806632	406806632	0
47	401488866	401488866	0
48	398347565	398347565	0
49	398455681	398455681	0
50	407108634	407108634	0
51	417373122	417373122	0
52	417575195	417575195	0
53	413279017	413279017	0
54	402923787	402923787	0
55	407168839	407168839	0
56	394579588	394579588	0
57	399461569	399461569	0
58	400454516	400454516	0
59	400047045	400047045	0
60	397290691	397290691	0
61	412836840	412836840	0
62	412837169	412837169	0
63	412838258	412838258	0
64	412838465	412838465	0
65	412838777	412838777	0
66	412837942	412837942	0
67	412838458	412838458	0
68	412837965	412837965	0
69	412836118	412836118	0
70	412837543	412837543	0
71	412836869	412836869	0
72	412836704	412836704	0
73	412835295	412835295	0
74	495712797	412835229	82877568
75	544626914	412836412	131790502
76	575733777	412836730	162897047
77	605647293	412836696	192810597
78	597233247	412836165	184397082
79	599727075	412836781	186890294
80	594648471	412836151	181812320
81	598952568	412836978	186115590
82	599498078	412837095	186660983
83	591986674	412838622	179148052
84	607205444	412837522	194367922
85	614829628	412837841	201991787
86	606737319	412837377	193899942
87	609340522	412837920	196502602
88	609151532	412836070	196315462
89	623007865	412836751	210171114
90	620780430	412837250	207943180
91	617209356	412836370	204372986
92	617494057	412836998	204657059
93	626404939	412831303	213573636
94	608425187	412833413	195591774
95	611204367	412825597	198378770
96	609877043	412827010	197050033
97	623941012	412809015	211131997
98	622469112	412818535	209650577
99	610870005	412791710	198078295
100	607098154	412737782	194360372
101	601559783	412637678	188922105
102	611335625	412614900	198720725
103	608183542	412706218	195477324
104	668925400	412414324	256511076
105	750269789	413601199	336668590
106	783935418	415939384	367996034
107	797670639	416914376	380756263
108	807969825	411669463	396300362
109	797948184	410609669	387338515
110	806900663	419655250	387245413
111	822676896	422719204	399957692
112	792324447	392504917	399819530
113	801742866	399267340	402475526
114	811752829	408763859	402988970
115	805269040	410024075	395244965
116	793290383	404602144	388688239
117	783460271	396708345	386751926
118	791107240	398777276	392329964
119	803086679	397138365	405948314
120	815022323	399439409	415582914
121	806985437	406904361	400081076
122	824923703	416172914	408750789
123	825946375	415325905	410620470
124	824713348	412538967	412174381
125	816856923	411659111	405197812
126	832822851	416195389	416627462
127	806468071	396620081	409847990
128	806426480	397541635	408884845
129	820102889	406772507	413330382
130	810543267	402557276	407985991
131	796000739	387172024	408828715
132	807536955	397422753	410114202
133	786386684	395623584	390763100
134	800973053	396970925	404002128
135	793967011	401971085	391995926
136	794251066	403280762	390970304
137	798213283	396536867	401676416
138	810309857	407214664	403095193
139	828198277	419808311	408389966
140	822012227	426039329	395972898
141	813265614	415506643	397758971
142	819441992	431658290	387783702
143	822514487	420053559	402460928
144	824132883	428401568	395731315
145	809768945	414365395	395403550
146	803815043	414024843	389790200
147	824625947	419219590	405406357
148	818713052	408111632	410601420
149	793445392	406102973	387342419
150	796900937	395956529	400944408
