# Time	Total	Path1
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	149599840	149599840
16	176386944	176386944
17	184903116	184903116
18	185895367	185895367
19	192209668	192209668
20	195040463	195040463
21	202032278	202032278
22	204657075	204657075
23	200778155	200778155
24	207144845	207144845
25	207817134	207817134
26	216071451	216071451
27	212795267	212795267
28	211544795	211544795
29	189017450	189017450
30	193953049	193953049
31	195146242	195146242
32	189259393	189259393
33	181794868	181794868
34	185150508	185150508
35	195573684	195573684
36	200592696	200592696
37	186970171	186970171
38	197187530	197187530
39	203554412	203554412
40	193257626	193257626
41	202546038	202546038
42	203391469	203391469
43	200835598	200835598
44	209968635	209968635
45	372638493	372638493
46	402999857	402999857
47	400117297	400117297
48	394821758	394821758
49	403083117	403083117
50	397906755	397906755
51	392731017	392731017
52	392144569	392144569
53	393928361	393928361
54	405144785	405144785
55	394336645	394336645
56	395250165	395250165
57	387059037	387059037
58	392520124	392520124
59	392755343	392755343
60	394033277	394033277
61	404896755	404896755
62	405879196	405879196
63	406851656	406851656
64	408125027	408125027
65	394948736	394948736
66	408221247	408221247
67	408422642	408422642
68	426513028	426513028
69	435949903	435949903
70	430973551	430973551
71	442243843	442243843
72	439374683	439374683
73	435534211	435534211
74	421196366	421196366
75	492108126	492108126
76	505834405	505834405
77	496085052	496085052
78	490932375	490932375
79	506970913	506970913
80	509557782	509557782
81	511363977	511363977
82	500979948	500979948
83	487692021	487692021
84	487554069	487554069
85	488259161	488259161
86	492069091	492069091
87	491861973	491861973
88	478082950	478082950
89	494886970	494886970
90	515274488	515274488
91	509162604	509162604
92	490905029	490905029
93	472371386	472371386
94	447061956	447061956
95	445499728	445499728
96	484097967	484097967
97	491874305	491874305
98	506469043	506469043
99	504480875	504480875
100	504210919	504210919
101	500590333	500590333
102	483981194	483981194
103	488802246	488802246
104	494998044	494998044
105	536760246	536760246
106	524870663	524870663
107	507506806	507506806
108	513419744	513419744
109	486490924	486490924
110	507904470	507904470
111	509730780	509730780
112	510651678	510651678
113	510519776	510519776
114	511424991	511424991
115	512543019	512543019
116	512697861	512697861
117	512795300	512795300
118	512897580	512897580
119	512131725	512131725
120	510940177	510940177
121	510664167	510664167
122	510260593	510260593
123	509899843	509899843
124	510843767	510843767
125	510239924	510239924
126	511816867	511816867
127	511972823	511972823
128	513017508	513017508
129	513694922	513694922
130	513238625	513238625
131	513449067	513449067
132	512145222	512145222
133	510908096	510908096
134	510940032	510940032
135	510140947	510140947
136	510019246	510019246
137	510480045	510480045
138	509907483	509907483
139	510658730	510658730
140	511107092	511107092
141	511029710	511029710
142	511949033	511949033
143	511707452	511707452
144	511267945	511267945
145	511348947	511348947
146	510544199	510544199
147	510250573	510250573
148	510085089	510085089
149	511477432	511477432
150	510546702	510546702
