# Time	Total	VNF1	VNF2
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	22344960	19551840	0
16	27813568	26983968	0
17	29151692	30867948	0
18	29226977	30305306	0
19	28222906	33814940	0
20	29737327	34044638	0
21	30801423	31777118	0
22	31207766	31054828	0
23	31128871	30656692	0
24	30217930	34626015	0
25	29991967	35230777	0
26	32007481	33329992	0
27	33262383	29949342	0
28	31965417	31064645	0
29	32206283	29318774	0
30	31387949	27694023	0
31	30242446	30017706	0
32	29506568	32834969	0
33	30896133	29639631	0
34	30189187	29762620	0
35	30042728	33312356	0
36	30945803	29254664	0
37	30058464	29036165	0
38	29224889	29084982	0
39	29726460	33407379	0
40	30220656	31796197	0
41	30489078	32226416	0
42	30991213	33023516	0
43	31816065	33981854	0
44	32836162	36167775	0
45	58955842	63263696	0
46	60433379	64111665	0
47	62955862	65844562	0
48	65099789	66592842	0
49	64552072	65603960	0
50	63417082	67372476	0
51	64162122	66111652	0
52	64008903	64868348	0
53	63294149	65075506	0
54	65060931	67201132	0
55	65480848	65921409	0
56	65347172	64919360	0
57	65718500	66301083	0
58	66309423	66292508	0
59	65713987	65483101	0
60	64279388	65078163	0
61	65328902	64505933	0
62	65485137	66694228	0
63	64801663	64565927	0
64	64916199	64737561	0
65	62836812	68046559	0
66	63456598	66933857	0
67	62778174	62467591	0
68	63527233	67946484	0
69	62063825	64318685	0
70	63360918	65454870	0
71	62912949	64862840	0
72	62161545	63453725	0
73	62496588	65045813	0
74	63298893	64661256	0
75	87768002	65996950	12100560
76	93427130	67423232	23265100
77	93245116	67239747	23215380
78	93409371	66097066	23517259
79	92842022	67060205	23121852
80	92872030	69602746	22614013
81	92896915	68753027	22528198
82	92055252	68740206	24246430
83	91817337	67127279	22989645
84	94881794	68603409	24849259
85	94191628	67547700	23795899
86	93976306	66391877	24408227
87	95507685	65593127	22365695
88	94373365	64045423	23470041
89	93642210	63992779	24109995
90	92964064	61000675	23345346
91	92554987	62861075	23802516
92	91555254	63447451	21786352
93	90736230	56528770	22002488
94	90086176	57645812	22297685
95	88511210	60689080	27090397
96	89652574	61526191	32158020
97	87877981	58737986	33389468
98	92175544	64154176	32109674
99	91693192	65586099	30554867
100	90889949	65746808	35655121
101	90805278	59461396	31690135
102	92612753	57409739	34467815
103	91549604	57891603	30104433
104	91280417	59478936	29983210
105	118298701	59908239	56180377
106	122020059	66040533	59638095
107	125275791	64395980	58776635
108	122651674	57242195	60821994
109	122563395	64724748	61143975
110	123012072	61517740	57713774
111	122632865	69099034	55905615
112	122122272	66249462	59978667
113	122261511	61975955	61289114
114	123985318	64148235	57723954
115	126050290	63790304	66775925
116	125718677	66875730	63963127
117	124034390	69754699	62940006
118	125805059	69356550	68513364
119	126172460	64815197	72972450
120	124022848	59240362	66037859
121	123809933	62561139	65019449
122	124584014	58160401	60903043
123	124355111	59278243	58001945
124	122772355	60255202	61821439
125	125269696	57719815	62668134
126	122027877	52810960	62041336
127	123094397	56381565	62249953
128	122461784	59534308	62014765
129	122845517	58120213	60761486
130	125992416	58628160	66488507
131	124872877	56112101	71278243
132	123227533	58380630	70165743
133	122815623	52326951	66522408
134	122949904	50562161	60502935
135	126174614	57559286	65920257
136	123968832	58520300	64963968
137	120539058	64962792	58269146
138	119237085	62294564	60525160
139	120097771	56891426	58119998
140	119315762	59908231	61419442
141	122513387	59904555	60647172
142	120515685	58106086	67869583
143	122007125	56666454	62270062
144	120512026	62290535	60348610
145	121970420	61933297	54548314
146	121119429	65367235	56597136
147	122727785	69285262	57792649
148	124627556	66886868	59472773
149	122956142	66547749	59406083
150	123499023	68315414	57656194
