# Time	Total	VNF1
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	485760
16	15422880	18944640
17	20794336	25044736
18	24677843	28504806
19	27114814	26311843
20	29905880	28347810
21	29611483	31154017
22	29473706	31117101
23	29272358	30921128
24	30492246	28811928
25	31090266	33110644
26	30661097	31222406
27	31036133	34636176
28	31239152	32283453
29	31974544	32388439
30	30015075	29658497
31	29132949	29599066
32	29584908	27853532
33	30854650	27348164
34	30529443	29047324
35	30323553	28745552
36	30260410	27272368
37	31037861	31283773
38	31037914	31283860
39	31037939	31283721
40	31037917	31283805
41	31037908	31283834
42	31037909	31283867
43	31037915	31283884
44	31037893	31283806
45	31037910	31283864
46	44639190	45856650
47	52086493	52284177
48	55624383	57578780
49	58769263	61769626
50	59303224	61194729
51	60751058	62644929
52	60825212	61535323
53	62073327	60636307
54	61491217	60319279
55	61102027	61897381
56	60821007	60830995
57	60680504	59535139
58	60977179	58562009
59	62086797	60688513
60	60927180	64383602
61	60843463	64996526
62	61558606	61926133
63	59812547	61602563
64	60533088	57719729
65	61801971	56568000
66	62417760	58285403
67	63671274	60707213
68	62226525	60518136
69	61487096	62610477
70	60061639	62687464
71	59890157	63462827
72	61356732	62930667
73	61227691	65082380
74	61992626	63139656
75	60874446	61096264
76	75538060	71858780
77	86594592	87443095
78	86739434	88831284
79	87526027	87956089
80	88645055	84831920
81	92884687	91175251
82	92796647	88642358
83	92202404	92215874
84	90942392	90855048
85	90350166	92831680
86	92276791	90920969
87	91437563	89776747
88	91333808	82592844
89	91741507	84432224
90	90914305	88587309
91	90296320	91539072
92	91104627	92270604
93	91686353	95537697
94	92577277	97135507
95	91318141	94588939
96	91697880	97410425
97	92109262	94223713
98	89768224	94516461
99	88915270	88739840
100	89310633	86957581
101	90268875	86607149
102	92184518	89910811
103	89963779	90164752
104	91028417	84969442
105	91323008	79864954
106	98631955	93068265
107	97757182	96925489
108	97524824	99046570
109	99094313	98804619
110	101122554	101320634
111	96706353	99506209
112	96359991	97427846
113	98114644	98017002
114	97506136	101362775
115	96091789	100795713
116	98711509	94723508
117	97164760	94752529
118	94672564	95527727
119	93089809	93768066
120	93888892	97841894
121	95815907	98372299
122	98351675	100633580
123	98231266	99406105
124	97420666	98708481
125	95807343	96784051
126	97598465	94677304
127	98265101	94345914
128	96090554	94700847
129	95912789	95846466
130	98228895	96271527
131	97411001	98994224
132	97075707	99656322
133	97729468	100383898
134	94818557	98683099
135	95869987	97526609
136	95131003	96764705
137	97495305	95510919
138	96203345	98285265
139	96574563	99162940
140	97088749	100670781
141	97222388	99923901
142	97224850	99262039
143	96905725	99982170
144	97112574	97548265
145	98315070	94960957
146	98405079	96225982
147	99255732	98315979
148	95860613	96976018
149	96971266	98542551
150	95597466	99822504
