t	iperf_only_UDP_payload	iperf_with_eth	data_mean	n1_mean	n1_mean_low	n1_mean_high	n2_mean	n2_mean_low	n2_mean_high	n5	n10	n20_mean	n20_mean_low	n20_mean_high	n50	n100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	3.00E+07	3.09E+07	9489146	2869823	2862377	2877268	3757799	1686495	5829103	2697649	2846744	2901621	2007980	3795262	5168426	5089066
6	3.00E+07	3.09E+07	29143608	11486166	11482035	11490297	12086899	10686317	13487482	11273647	10735803	10564841	8299617	12830064	15239472	13240906
7	3.00E+07	3.09E+07	30062417	17475486	17455843	17495128	17827798	16704129	18951467	17838846	16533787	17301511	14155117	20447904	20169069	16764901
8	3.00E+07	3.09E+07	32710915	21665601	21659140	21672061	22035761	21172766	22898756	21914485	21386925	21999654	19826580	24172728	23577761	21678683
9	3.00E+07	3.09E+07	30496480	24617268	24613011	24621524	24887826	24237609	25538043	24788107	24119791	25263693	22746049	27781337	26217739	24829104
10	3.00E+07	3.09E+07	30844071	26686954	26682042	26691867	26833891	26373871	27293912	26769861	26137074	27284937	25763012	28806861	28254017	29713492
11	3.00E+07	3.09E+07	31827093	28135035	28131765	28138305	28438662	27356622	29520702	28219075	27844079	29127178	27655649	30598706	29294291	29294271
12	3.00E+07	3.09E+07	31152906	29146924	29142518	29151331	30457319	27098208	33816429	29210848	28836727	29630005	27936848	31323162	30328163	31501189
13	3.00E+07	3.09E+07	30847573	29858071	29855274	29860869	31869453	26846992	36891913	29728924	29439980	29977995	28469148	31486843	30545127	32951578
14	3.00E+07	3.09E+07	31625582	30352347	30348104	30356589	32795574	26945111	38646038	30244371	30095660	30133076	29264244	31001908	30336575	32064771
