t	iperf_only_UDP_payload	iperf_with_eth	data	n1	n2	n5	n10	n20	n50	n100
0	0	0	0	0	0	0	0	0	0	0
10	3.00E+07	3.09E+07	4822188	7273865	4270643	4822188	10778976	5933216	3053440	2818560
20	3.00E+07	3.09E+07	30411024	14534374	12453383	12498838	16952462	13468159	11786992	11240736
30	3.00E+07	3.09E+07	31834032	19624986	18201564	18299396	20813261	18737829	15651846	18058723
40	3.00E+07	3.09E+07	31532120	23187005	22187075	22269213	23537300	22586054	20526748	22816914
50	3.00E+07	3.09E+07	31621744	25681837	24933740	25074972	25831818	25221809	22939939	26263039
60	3.00E+07	3.09E+07	30771424	27426449	26901702	26783907	27497050	26759695	25606693	27807295
70	6.00E+07	6.18E+07	35761024	30617071	29555878	29477042	31765850	30476877	28680237	30648146
80	6.00E+07	6.18E+07	66107728	38918344	39214652	40466247	41602899	40301993	36037485	40311222
90	6.00E+07	6.18E+07	64694048	45254182	46293451	47734587	48209910	46019059	46908703	47466527
100	6.00E+07	6.18E+07	61354112	49423572	51308693	51820444	52685668	50197213	57361980	52706840
110	6.00E+07	6.18E+07	63234312	52127599	55040487	55244604	55756481	54370900	59828346	60060308
120	6.00E+07	6.18E+07	63356208	54059846	57213416	57678085	58353496	57713191	62540386	65957591
130	9.00E+07	9.27E+07	62523724	56138715	60806002	59131776	62673306	61276219	65638910	60414265
140	9.00E+07	9.27E+07	93766584	58087908	70926652	69522218	70774843	71440767	75934973	78557153
150	9.00E+07	9.27E+07	94955528	58769649	77835471	77152211	77415490	80821503	82112401	81001351
160	9.00E+07	9.27E+07	90974472	59751585	83260850	81298889	83535158	87271676	84912000	91238865
170	9.00E+07	9.27E+07	91165104	60264447	86908135	84258753	87069981	90719142	90765000	90618181
180	9.00E+07	9.27E+07	90992336	60478477	89146342	86278827	88889129	91126794	93383172	91572726
190	9.00E+07	9.27E+07	42813880	48802112	75277411	73239342	68605943	75172426	79144364	77484508
200	0.00E+00	0.00E+00	0	0	0	0	0	0	0	0
