Time	vm-1_cpu	vm-2_cpu	vm-1_net	vm-2_net
0	0	2	15720	0
10	20	24	1860976	1782639904
20	100	100	10364368	9760195208
30	83	100	10751696	10724086976
40	78	92	8035696	7593384424
50	0	0	16544	0
60	0	0	16568	0
70	12	2	1927768	1883264448
80	89	100	10178576	9691056568
90	80	100	11338584	11017512384
100	83	85	9071024	8646755872
110	0	2	15160	0
120	2	3	15496	0
130	22	42	2057072	1977286736
140	100	81	10255648	9846088608
150	81	100	11509112	11213179216
160	36	80	8538104	8105528848
170	4	1	16552	0
180 0 0 0 0
