Time	vm-1_cpu	vm-2_cpu	vm-1_net	vm-2_net
0	0	0	17640	0
10	3	0	17016	984
20	4	0	57576	34117736
30	5	0	128384	100295264
50	5	0	109240	80838720
60	4	0	22448	0
70	4	7	23360	0
80	5	0	97040	69165272
90	46	3	239616	200242440
100	0	6	271544	203209312
110	0	6	181184	128256976
120	0	2	23248	0
140	0	4	128744	93187584
150	14	11	596312	506042784
170	3	21	437672	399273528
180	3	0	23024	0
200	7	0	230352	192968456
210	53	5	1095088	1001148816
230	0	15	860632	806293152
240	17	3	23552	0
260	4	26	418680	385501936
270	22	1	2115112	2002102816
290	31	45	1708336	1610994896
300	0	0	21328	0
320	12	0	1040672	989412168
330	63	80	5211008	5035394136
350	48	38	4169680	3975700696
360	1	2	21024	0
380	30	24	1864048	1780966824
390	92	100	10662872	10204816936
410	77	80	8324392	8049175696
420	0	0	24000	0
440	19	16	2007104	1902529904
450	90	100	9957336	9479729864
470	64	64	7880552	7539658704
480	0	2	22776	0
