t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9990960,2997288,
6,25927680,9876405,
7,28689760,15520411,
8,36460160,21802335,
9,32061120,24879970,
10,31597120,26895115,
11,34806880,29268644,
12,31922880,30064914,
13,31714560,30559807,
14,31928640,30970456,
15,33006400,31581239,
16,29483200,30951827,
17,31250560,31041446,
18,32334880,31429476,
19,31404640,31422025,
20,31527840,31453769,
21,33352960,32023526,
22,30769280,31647252,
23,29488960,30999764,
24,31688000,31206234,
25,57775040,39176875,
26,67175680,47576516,
27,33247040,43277673,
28,30817600,39539651,
29,35472640,38319547,
30,30775040,36056194,
31,31651040,34734647,
32,29654560,33210620,
33,31009920,32550410,
34,29841280,31737671,
35,31362240,31625041,
36,29594880,31015992,
37,33370240,31722266,
38,30055200,31222146,
39,31464640,31294894,
40,28896000,30575225,
41,29339200,30204417,
42,29995360,30141699,
43,32452480,30834933,
44,32894720,31452869,
45,43964640,35206400,
46,91735200,52165040,
47,66829760,56564456,
48,29932160,48574767,
49,31015680,43307040,
50,32883200,40179888,
51,30043840,37139073,
52,30416960,35122439,
53,30775040,33818219,
54,33285760,33658481,
55,29926400,32538856,
56,30657600,31974479,
57,31811040,31925447,
58,32888960,32214500,
59,30663360,31749158,
60,32931520,32103866,
61,31943680,32055810,
62,32350080,32144091,
63,34560640,32869055,
64,32296000,32697138,
65,44161680,36136500,
66,87661440,51593982,
67,93467200,64155947,
68,74757280,67336346,
69,27983840,55530594,
70,33352960,48877303,
71,33054720,44130528,
72,31341280,40293753,
73,30236160,37276475,
74,31160640,35441724,
75,31244800,34182646,
76,31971200,33519212,
77,31058240,32780920,
78,33097120,32875780,
79,30557440,32180278,
80,30236000,31596994,
81,29723840,31035047,
82,28826880,30372596,
83,29483200,30105777,
84,32765760,30903771,
85,59059040,39350351,
86,70739520,48767101,
87,112476960,67880058,
88,107897760,79885368,
89,79920320,79895853,
90,29233120,64697033,
91,31708800,54800563,
92,29841280,47312778,
93,35446080,43752768,
94,33572800,40698777,
95,31052640,37804935,
96,31015680,35768158,
97,29040960,33749998,
98,33584160,33700246,
99,29691520,32497628,
100,28555200,31314899,
101,31112320,31254125,
102,34048320,32092383,
103,29760640,31392860,
104,35008640,32477594,
105,45288800,36320955,
106,118060000,60842668,
107,91851840,70145419,
108,107246720,81275809,
109,81359520,81300922,
110,64332720,76210461,
111,30934880,62627786,
112,27038560,51951018,
113,32061120,45984048,
114,33358720,42196449,
115,33647680,39631818,
116,31347040,37146384,
117,31458880,35440132,
118,33828480,34956636,
119,31004160,33770893,
120,32979680,33533529,
121,32066880,33093534,
122,31837760,32716801,
123,33536000,32962560,
124,32888960,32940480,
125,19073600,28780416,
126,65200,20165851,
127,0,14116095,
128,0,9881266,
129,0,6916886,
130,0,4841820,
131,0,3389274,
