t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,20390960,6117288,
6,21770640,10813293,
7,0,7569305,
8,0,5298513,
9,0,3708959,
10,0,2596271,
11,0,1817389,
12,0,1272172,
13,0,890520,
14,0,623364,
15,0,436354,
16,0,305447,
17,0,213812,
18,0,149668,
19,0,104767,
20,0,73336,
21,0,51335,
22,0,35934,
23,0,25153,
24,0,17607,
25,10627840,3200676,
26,58442720,19773289,
27,27663360,22140310,
28,0,15498216,
29,0,10848751,
30,0,7594125,
31,0,5315887,
32,0,3721120,
33,0,2604784,
34,0,1823348,
35,0,1276343,
36,0,893440,
37,0,625408,
38,0,437785,
39,0,306449,
40,0,214514,
41,0,150159,
42,0,105111,
43,0,73577,
44,0,51503,
45,14883440,4501084,
46,78002560,26551526,
47,68291040,39073380,
48,41768640,39881958,
49,0,27917370,
50,0,19542159,
51,0,13679511,
52,0,9575657,
53,0,6702959,
54,0,4692071,
55,0,3284449,
56,0,2299114,
57,0,1609379,
58,0,1126565,
59,0,788595,
60,0,552016,
61,0,386411,
62,0,270487,
63,0,189340,
64,0,132538,
65,17780960,5427064,
66,50164160,18848192,
67,64672480,32595478,
68,51513280,38270818,
69,28902880,35460436,
70,5600,24823985,
71,0,17376789,
72,0,12163752,
73,0,8514626,
74,0,5960238,
75,0,4172166,
76,0,2920516,
77,0,2044361,
78,0,1431052,
79,0,1001736,
80,0,701215,
81,0,490850,
82,0,343595,
83,0,240516,
84,0,168361,
85,19086400,5843772,
86,67731680,24410144,
87,60599840,35267052,
88,61177120,43040072,
89,69680160,51032098,
90,31009920,45025444,
91,5600,31519490,
92,0,22063643,
93,0,15444550,
94,0,10811185,
95,0,7567829,
96,0,5297480,
