t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9566078,2869823,2862377,2877268
6,31590969,11486166,11482035,11490297
7,31450566,17475486,17455843,17495128
8,31442537,21665601,21659140,21672061
9,31504492,24617268,24613011,24621524
10,31516225,26686954,26682042,26691867
11,31513892,28135035,28131765,28138305
12,31508001,29146924,29142518,29151331
13,31517416,29858071,29855274,29860869
14,31505659,30352347,30348104,30356589
15,31511537,30700104,30697780,30702427
16,31515545,30944736,30941002,30948469
17,31505177,31112868,31109402,31116333
18,31515059,31233524,31229846,31237203
19,31506835,31315517,31311734,31319300
20,31509188,31373618,31370230,31377006
21,31517404,31416754,31412473,31421034
22,31509192,31444485,31441410,31447559
23,31513884,31465304,31461477,31469131
24,31510363,31478821,31473519,31484124
25,31513886,31489340,31486029,31492651
26,31506828,31494586,31491760,31497412
27,31511537,31499671,31496008,31503335
28,31513923,31503946,31500244,31507648
29,31503382,31503777,31500392,31507161
30,31512710,31506456,31503155,31509757
31,31517408,31509741,31505685,31513797
32,31509225,31509586,31505666,31513506
33,31510358,31509817,31507312,31512322
34,31511540,31510334,31507472,31513195
35,31504488,31508579,31504407,31512751
36,31517446,31511239,31507517,31514961
37,31505667,31509567,31505583,31513551
38,31518576,31512269,31510011,31514527
39,31509187,31511344,31507392,31515296
40,31509187,31510696,31506773,31514619
41,31517443,31512720,31509744,31515696
42,31510356,31512010,31509289,31514731
43,31510361,31511515,31508295,31514736
44,31508052,31510476,31507389,31513563
45,31506835,31509383,31506581,31512185
46,31512712,31510381,31507686,31513076
47,31513881,31511431,31507411,31515450
48,31513924,31512178,31509998,31514358
49,31506833,31510574,31507153,31513995
50,31517414,31512626,31510888,31514363
51,31506873,31510899,31506641,31515158
52,31499788,31507566,31506005,31509126
53,31522217,31511961,31509351,31514570
54,31509665,31511272,31508422,31514122
55,31511572,31511361,31507953,31514770
56,31521622,31514439,31511358,31517520
57,31512059,31513725,31510333,31517116
58,31501662,31510105,31506912,31513298
59,31526627,31515061,31512020,31518102
60,31499312,31510336,31505594,31515077
61,31508692,31509842,31506500,31513184
62,31513892,31511057,31507492,31514622
63,31518576,31513312,31511003,31515621
64,31502137,31509959,31507051,31512867
65,39507080,33909095,33291413,34526778
66,57679742,41040289,38621745,43458833
67,57910059,46101219,42405301,49797137
68,58019676,49676756,45065964,54287548
69,58125948,52211513,46952959,57470067
70,58227190,54016216,48319087,59713344
71,58423307,55338343,49323154,61353531
72,58444318,56270135,50025461,62514809
73,58452776,56924927,50525354,63324499
74,58603785,57428584,50903584,63953584
75,58471284,57741393,51135584,64347203
76,58361953,57927561,51280978,64574144
77,58123628,57986380,51318771,64653990
78,58303620,58081552,51388653,64774451
79,58655259,58253664,51521363,64985964
80,59135496,58518213,52201730,64834696
81,61608393,59445267,55124823,63765710
82,61668710,60112299,57167637,63056962
83,61400460,60498747,58514305,62483189
84,61777955,60882509,59543020,62221997
85,61712116,61131391,60192777,62070004
86,61571464,61263412,60509991,62016833
87,61921921,61460964,60745537,62176391
88,61805694,61564383,60924251,62204515
89,61335499,61495717,60868385,62123049
90,61384270,61462283,60866222,62058343
91,61448185,61458053,60898685,62017421
92,61069299,61341426,60628854,62053998
93,61106561,61270966,60430434,62111499
94,61388931,61306355,60486829,62125882
95,61498252,61363924,60596242,62131606
96,61515809,61409489,60670678,62148300
97,61477995,61430040,60692351,62167729
98,61497451,61450263,60713326,62187200
99,61248208,61389646,60627041,62152250
100,61497440,61421984,60637862,62206105
101,61611176,61478741,60678285,62279196
102,61503787,61486254,60725878,62246630
103,61520774,61496610,60680052,62313167
104,61322488,61444372,60607991,62280753
105,61448625,61445648,60634985,62256310
106,61653009,61507856,60696413,62319299
107,61838704,61607109,60812968,62401251
108,61699891,61634943,60908089,62361798
109,61341414,61546884,60808434,62285334
110,61517720,61538134,60803600,62272668
111,61460377,61514807,60820311,62209303
112,61501214,61510729,60824350,62197107
113,61602641,61538302,60836361,62240243
114,61622256,61563487,60860431,62266544
115,61717737,61609762,60931799,62287725
116,61909923,61699810,61153809,62245810
117,61612718,61673682,61099343,62248020
118,61556585,61638552,61105781,62171323
119,61192440,61504718,60876951,62132485
120,61515937,61508083,60868588,62147578
121,61042902,61368528,60684104,62052953
122,61111470,61291410,60494170,62088650
123,60642404,61096708,60065588,62127828
124,60795971,61006487,59803803,62209170
125,63234323,61674837,59921652,63428022
126,68808363,63814894,60808139,66821650
127,68135550,65111090,61135024,69087156
128,68688432,66184292,61524212,70844373
129,69097672,67058306,61910341,72206270
130,69080640,67665005,62174734,73155276
131,68829462,68014342,62328433,73700250
132,68742897,68232908,62382491,74083325
133,68420966,68289325,62278149,74300500
134,68612542,68386289,62301671,74470908
135,69406993,68692500,62636651,74748349
136,69675771,68987481,62960454,75014507
137,69123302,69028227,62978484,75077969
138,69636547,69210722,63163634,75257811
139,69464896,69286974,63172178,75401769
140,68844576,69154254,63001197,75307310
141,69499476,69257820,63027263,75488376
142,70210974,69543766,63262274,75825257
143,68517803,69235976,62897110,75574842
144,69277193,69248341,62921824,75574858
145,68828414,69122362,62738035,75506689
146,68603048,68966567,62596392,75336742
147,68745660,68900295,62525285,75275304
148,68310075,68723228,62338513,75107944
149,68486523,68652216,62317166,74987266
150,68337121,68557687,62220207,74895168
151,69001595,68690859,62389332,74992386
152,68670824,68684848,62425119,74944577
153,68742892,68702261,62458980,74945541
154,68983953,68786768,62513952,75059584
155,69126854,68888793,62668708,75108879
156,69239233,68993925,62817442,75170407
157,68955574,68982419,62831259,75133579
158,68592091,68865320,62699445,75031195
159,68472804,68747565,62579277,74915853
160,68621740,68709817,62497379,74922255
161,69009574,68799744,62536895,75062592
162,68576406,68732742,62416679,75048805
163,69001992,68813516,62508345,75118687
164,68558131,68736900,62366657,75107143
165,68924105,68793061,62369549,75216573
166,68139304,68596934,62117137,75076730
167,68561099,68586183,62142960,75029405
168,68709596,68623206,62254451,74991961
169,69750088,68961270,62491720,75430820
170,68828532,68921448,62565235,75277662
171,69205027,69006521,62493623,75519420
172,69781254,69238941,62853585,75624296
173,68602478,69048002,62664553,75431450
174,68968638,69024192,62695672,75352712
175,68204428,68778263,62478906,75077619
176,68309254,68637560,62247133,75027986
177,67817932,68391671,61939413,74843929
178,69267107,68654301,62275413,75033189
179,67344118,68261246,61780248,74742243
180,68133907,68223044,61740602,74705485
181,34728115,58174564,52482992,63866137
182,0,40722195,36738094,44706295
183,0,28505536,25716665,31294406
184,0,19953874,18001665,21906084
185,0,13967712,12601165,15334258
186,0,9777398,8820815,10733980
