t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,3671680,1101504,
6,22841280,7623436,
7,25101120,12866741,
8,31127360,18344926,
9,32157600,22488728,
10,34059840,25960061,
11,33807520,28314298,
12,29835520,28770664,
13,28875200,28802024,
14,32841600,30013896,
15,30723200,30226687,
16,28432000,29688280,
17,31832000,30331396,
18,31714560,30746345,
19,32654080,31318665,
20,34587200,32299225,
21,31886080,32175281,
22,31058240,31840168,
23,29591200,31165477,
24,32696640,31624825,
25,30775040,31369889,
26,34123200,32195882,
27,33283840,32522269,
28,30359360,31873396,
29,28826880,30959441,
30,34810560,32114776,
31,31587840,31956695,
32,28068160,30790134,
33,29152640,30298885,
34,33235520,31179875,
35,32232640,31495704,
36,30359360,31154800,
37,32046080,31422184,
38,33925120,32173064,
39,29290880,31308408,
40,34223360,32182893,
41,33407040,32550137,
42,34048320,32999591,
43,34346560,33403681,
44,34069120,33603312,
45,28703680,32133422,
46,30396000,31612195,
47,31816320,31673432,
48,30865760,31431130,
49,31298880,31391455,
50,31170080,31325042,
51,32404160,31648777,
52,33364480,32163487,
53,33599360,32594248,
54,32473600,32558053,
55,31591360,32268045,
56,29579840,31461583,
57,32862560,31881876,
58,27552320,30583009,
59,31528000,30866506,
60,32232640,31276346,
61,33822720,32040258,
62,31710880,31941444,
63,31832000,31908610,
64,30296000,31424827,
65,41650800,34492618,
66,54288000,40431232,
67,68464000,48841062,
68,59228800,51957383,
69,62932800,55250008,
70,59307200,56467165,
71,65468160,59167463,
72,65708800,61129864,
73,62185600,61446584,
74,64001120,62212944,
75,63425600,62576740,
76,59906720,61775734,
77,65052480,62758757,
78,61391040,62348441,
79,58945600,61327588,
80,67252800,63105151,
81,64955840,63660357,
82,61303680,62953353,
83,63760480,63195491,
84,64028480,63445387,
85,62260480,63089914,
86,62393760,62881067,
87,58433280,61546730,
88,66067840,62903063,
89,67166240,64182016,
90,65937920,64708787,
91,63654720,64392566,
92,60962880,63363660,
93,62405280,63076146,
94,62657920,62950678,
95,65459200,63703234,
96,61914720,63166679,
97,62884480,63082019,
98,63339200,63159173,
99,66504320,64162717,
100,66509600,64866781,
101,62360640,64114938,
102,61719360,63396264,
103,59725120,62294920,
104,64507840,62958796,
105,60418240,62196629,
106,67278080,63721064,
107,63007520,63507000,
108,62457280,63192084,
109,65831840,63984010,
110,61523520,63245863,
111,63926400,63450024,
112,62019840,63020968,
113,60824640,62362069,
114,62308800,62346088,
115,69644160,64535509,
116,57840320,62526952,
117,64176320,63021762,
118,64252800,63391073,
119,65997760,64173079,
120,67278080,65104579,
121,68234720,66043621,
122,62053120,64846470,
123,66484800,65337969,
124,64576800,65109618,
125,69927040,66554844,
126,95279680,75172294,
127,108742880,85243469,
128,99572480,89542172,
129,81555200,87146080,
130,95459840,89640208,
131,108149440,95192977,
132,99287360,96421291,
133,93804800,95636343,
134,96411200,95868800,
135,81786560,91644128,
136,105132800,95690729,
137,105111200,98516870,
138,88540160,95523857,
139,95560480,95534843,
140,100055360,96890998,
141,88705920,94435474,
142,80725920,90322607,
143,82006240,87827696,
144,87164480,87628731,
145,86079840,87164063,
146,99433600,90844924,
147,87730720,89910662,
148,117078400,98060983,
149,81408960,93065376,
150,98402560,94666531,
151,119770080,102197595,
152,94189120,99795052,
153,93047680,97770840,
154,98757760,98066916,
155,80406080,92768665,
156,90479680,92081969,
157,97664160,93756626,
158,95203360,94190646,
159,91689920,93440428,
160,91582560,92883067,
161,91897920,92587522,
162,94655360,93207873,
163,109835520,98196167,
164,85137120,94278452,
165,117335840,101195668,
166,92352320,98542663,
167,104780000,100413864,
168,83342240,95292376,
169,88185120,93160199,
170,82497920,89961515,
171,92618400,90758580,
172,100084320,93556302,
173,91605600,92971091,
174,92768480,92910307,
175,91184640,92392606,
176,86861120,90733160,
177,95165600,92062892,
178,79815360,88388632,
179,101247040,92246154,
180,84014400,89776627,
181,48204480,77304982,
182,0,54113487,
183,0,37879440,
184,0,26515608,
185,0,18560925,
186,0,12992647,
