t,data0,a0.3,data1,a0.3,data2,a0.3,
0,0,0,0,0,0,0,
10,0,0,29580816,21562635,0,0,
20,0,0,29009616,30264272,0,0,
30,0,0,32261104,31213799,0,0,
40,0,0,31187616,31764013,0,0,
50,0,0,30942080,30787753,0,0,
60,0,0,30662960,30964669,0,0,
70,0,0,31592768,31227286,54476048,41435968,
80,0,0,31642272,31611769,62239232,61073833,
90,0,0,30988912,31216366,65279200,64932049,
100,0,0,30801360,30955292,55973232,56528063,
110,0,0,30930192,30877895,64173072,63438408,
120,0,0,31882464,31553884,62198640,63145327,
130,81563216,60085345,30407248,30664998,64138752,64129943,
140,93342256,93889501,30074752,30212837,60148032,60279816,
150,91762880,90459189,31951472,31604071,66655088,65420523,
160,100190624,99628919,32071664,31974025,64419504,63979317,
170,97705632,98022596,30841984,30843628,65655344,65825056,
180,71121232,84345506,22877424,27449039,46608176,55687371,
190,0,0,0,0,0,0,
