t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,5000756,5000756,5000756,5000756,5000756,5000756,5000756,5000756,5000756,
20,31854064,5269289,5537822,6343421,7686086,10371417,13056748,15742079,18427410,
30,37859732,5595193,6184260,7919236,10703450,15869080,20497643,24589140,28143571,
40,32437616,5863617,6709327,9145155,12876866,19182787,24079634,27728530,30290593,
50,39077368,6195754,7356687,10641765,15496916,23161703,28578954,32268065,34683980,
60,36418916,6497985,7937931,11930622,17589116,25813145,30930942,33928405,35551448,
70,39174048,6824745,8562653,13292793,19747609,28485325,33403873,36026662,37362748,
80,41551352,7172011,9222426,14705720,21927983,31098530,35848116,38236538,39457050,
90,39018004,7490470,9818337,15921334,23636985,32682424,36799082,38549124,39237527,
100,47046104,7886026,10562892,17477572,25977896,35555160,39873188,41947916,43141815,
110,40395808,8211123,11159550,18623483,27419687,36523289,40029974,41327072,41768811,
120,53385000,8662861,12004059,20361558,30016218,39895631,44036481,46150243,47576905,
130,27215512,8848387,12308288,20704255,29736147,37359607,38990190,38576350,37396208,
