t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,10778976,10778976,10778976,10778976,10778976,10778976,10778976,10778976,10778976,
20,31357264,10984758,11190541,11807890,12836804,14894633,16952462,19010291,21068120,
30,29821792,11173128,11563166,12708585,14535302,17880064,20813261,23334891,25444956,
40,29893392,11360330,11929770,13567825,16071111,20282729,23537300,25958291,27669174,
50,31185696,11558583,12314888,14448718,17582569,22463322,25831818,28049253,29427435,
60,31382592,11756823,12696242,15295411,18962571,24247176,27497050,29382588,30405013,
70,41726384,12056518,13276844,16616959,21238952,27743017,31765850,34320106,36065698,
80,64556016,12581512,14302427,19013911,25570658,35105616,41602899,46414470,50310857,
90,63626272,13091959,15288903,21244529,29376219,40809747,48209910,53299190,56968564,
100,63129104,13592330,16245707,23338757,32751507,45273618,52685668,57231155,60048834,
110,62921712,14085623,17179227,25317904,35768527,48803236,55756481,59507377,61485273,
120,64413200,14588898,18123906,27272668,38632994,51925228,58353496,61469706,62949236,
130,72752864,15170537,19216485,29546677,42044981,56090755,62673306,65982969,67851050,
140,89678432,15915615,20625723,32553264,46808326,62808290,70774843,75461154,78764741,
150,92910336,16685562,22071415,35571117,51418527,68828699,77415490,82440826,85837538,
160,97814384,17496850,23586274,38683280,56058112,74625836,83535158,88590249,91825961,
170,95317904,18275060,25020906,41515011,59984091,78764249,87069981,91281311,93571932,
180,93133808,19023647,26383164,44095950,63299062,81638160,88889129,92022309,93352870,
190,21278512,19046195,26281070,42955078,59097007,69566230,68605943,63724790,57315691,
