EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,
5,4599840,45998,91996,229992,459984,919968,1379952,1839936,2299920,
6,7583520,121373,241826,597668,1172337,2252678,3241022,4137369,4941720,
7,10940160,229560,455792,1114792,2149119,3990174,5550763,6858485,7940940,
8,11188800,339152,670452,1618492,3053087,5429899,7242174,8590611,9564870,
9,10815840,443918,873359,2078359,3829362,6507087,8314273,9480702,10190355,
10,8453760,524016,1024967,2397129,4291801,6896421,8356119,9069925,9322057,
11,11064480,629420,1225757,2830496,4969068,7730032,9168627,9867747,10193268,
12,10567200,728797,1412585,3217331,5528881,8297465,9588198,10147528,10380234,
13,11064480,832153,1605622,3609688,6082440,8850868,10031082,10514308,10722357,
14,9572640,919557,1764962,3907835,6431460,8995222,9893549,10137640,10147498,
15,10194240,1012303,1933547,4222155,6807738,9235025,9983756,10160280,10170869,
16,9448320,1096663,2083842,4483463,7071796,9277684,9823125,9875496,9809594,
17,11437440,1200070,2270913,4831161,7508360,9709635,10307419,10500273,10623517,
18,9945600,1287525,2424406,5086882,7752084,9756828,10198873,10278403,10284558,
19,10940160,1384051,2594721,5379545,8070891,9993494,10421259,10543105,10612359,
20,9572640,1465936,2734279,5589199,8221065,9909323,10166673,10154919,10092499,
21,11561760,1566894,2910828,5887827,8555134,10239810,10585199,10717655,10827129,
22,10691520,1658140,3066441,6128011,8768772,10330152,10617095,10707201,10759324,
23,11810400,1759662,3241320,6412130,9072934,10626201,10975086,11148480,11284862,
24,10940160,1851466,3395296,6638531,9259656,10688992,10964608,11065152,11112511,
25,10194240,1934893,3531274,6816316,9353114,10590041,10733497,10716787,10653375,
26,10442880,2019972,3669506,6997644,9462090,10560608,10646311,10607224,10548127,
27,10194240,2101714,3800000,7157473,9535305,10487334,10510689,10442030,10371183,
28,10940160,2190098,3942803,7346607,9675790,10577899,10639530,10641282,10655671,
29,10069920,2268896,4065345,7482772,9715203,10476303,10468647,10412737,10362795,
30,8826720,2334474,4160572,7549969,9626354,10146386,9976068,9778330,9594757,
31,11437440,2425503,4306109,7744342,9807462,10404596,10414479,10441974,10516098,
32,10069920,2501947,4421385,7860620,9833707,10337660,10311111,10293152,10293009,
33,11810400,2595031,4569165,8058109,10031376,10632208,10760897,10900051,11051704,
34,10069920,2669779,4679180,8158699,10035230,10519750,10553603,10567998,10560812,
35,10567200,2748753,4796940,8279124,10088427,10529240,10557682,10567678,10564006,
36,11561760,2836883,4932236,8443255,10235760,10735744,10858905,10965310,11062883,
37,11437440,2922888,5062340,8592964,10355928,10876083,11032465,11154162,11250161,
