t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,2852160,855648,
6,18811200,6242313,
7,42326400,17067539,
8,30877440,21210509,
9,29594880,23725820,
10,36033280,27418058,
11,33352960,29198528,
12,31901440,30009401,
13,30534400,30166900,
14,32883200,30981790,
15,34647040,32081365,
16,29606400,31338875,
17,29594880,30815676,
18,29594880,30449437,
19,29125120,30052141,
20,35232000,31606098,
21,31913280,31698252,
22,29125120,30926312,
23,29829760,30597346,
24,31004160,30719390,
25,32274880,31186037,
26,33684480,31935569,
27,32979840,32248850,
28,30865920,31833971,
29,34527360,32641987,
30,30654720,32045806,
31,35563520,33101120,
32,27246080,31344608,
33,29594880,30819689,
34,36664320,32573078,
35,32424960,32528642,
36,34623680,33157153,
37,29926400,32187927,
38,31816960,32076636,
39,30769280,31684429,
40,31955200,31765660,
41,29691520,31143418,
42,34400640,32120584,
43,29788160,31420856,
44,30172800,31046439,
45,31155840,31079259,
46,33822720,31902297,
47,30299520,31421463,
48,36406400,32916944,
49,36876160,34104708,
50,29136640,32614287,
51,29125120,31567536,
52,32744960,31920763,
53,31943680,31927638,
54,34955520,32836002,
55,27342720,31188017,
56,27950720,30216827,
57,28666880,29751842,
58,28655360,29422897,
59,28517120,29151163,
60,29691520,29313270,
61,27246080,28693113,
62,36194560,30943547,
63,31432000,31090082,
64,28282240,30247729,
65,40921600,33449890,
66,56777280,40448107,
67,72956160,50200522,
68,50533760,50300493,
69,56147840,52054697,
70,64700160,55848335,
71,70571840,60265386,
72,57792000,59523370,
73,63537280,60727543,
74,59682560,60414048,
75,65789440,62026665,
76,54399680,59738569,
77,54365440,58126630,
78,71276800,62071681,
79,63664000,62549376,
80,52956160,59671411,
81,62019840,60375939,
82,62478080,61006581,
83,76763520,65733662,
84,80672000,70215163,
85,66494080,69098838,
86,69151360,69114594,
87,77149120,71524951,
88,57792000,67405065,
89,75974080,69975769,
90,81238720,73354654,
91,57322240,68544929,
92,55293440,64569482,
93,58026880,62606701,
94,68458240,64362162,
95,65662400,64752233,
96,82315840,70021315,
97,76029120,71823656,
98,60568960,68447247,
99,72462720,69651888,
100,69054720,69472737,
101,73070720,70552131,
102,73860480,71544635,
103,62821120,68927580,
104,60002560,66250074,
105,74938240,68856523,
106,52967360,64089774,
107,66001280,64663225,
108,58135040,62704769,
109,62736000,62714138,
110,65061760,63418424,
111,66206080,64254720,
112,53660480,61076448,
113,66602240,62734185,
114,67410560,64137097,
115,57580160,62170015,
116,56606080,60500834,
117,64133760,61590711,
118,50040960,58125785,
119,53799040,56827761,
120,66332800,59679272,
121,59755840,59702242,
122,56606080,58773393,
123,62478080,59884799,
124,64603520,61300415,
125,59694080,60818514,
126,121574720,79045375,
127,99014720,85036178,
128,81033600,83835404,
129,131532800,98144622,
130,104205120,99962771,
131,68812800,90617779,
132,105002880,94933309,
133,82550720,91218532,
134,139156160,105599820,
135,57600640,91200066,
136,66770880,83871310,
137,73156800,80656957,
138,105900800,88230109,
139,118190720,97218292,
140,108261440,100531236,
141,40743040,82594777,
142,106594560,89794711,
143,105664640,94555689,
144,99505600,96040662,
145,94198400,95487983,
146,99324160,96638836,
147,109018880,100352849,
148,69975680,91239698,
149,95703360,92578796,
150,98992000,94502757,
151,115445120,100785465,
152,132912000,110423425,
153,121872640,113858189,
154,59459200,97538492,
155,84080000,93500944,
156,95607680,94132964,
157,109892800,98860914,
158,67711360,89516047,
159,59297920,80450608,
160,97028480,85423969,
161,80117120,83831914,
162,103616640,89767331,
163,86200960,88697419,
164,83116800,87023233,
165,94186880,89172327,
166,64133760,81660756,
167,131514880,96616993,
168,92536320,95392791,
169,102847360,97629161,
170,99707840,98252764,
171,68126720,89214950,
172,99804800,92391905,
173,105665280,96373917,
174,111068160,100782189,
175,86670720,96548748,
176,98277120,97067259,
177,102388800,98663721,
178,112661120,102862940,
179,110353280,105110042,
180,120154880,109623493,
181,54901440,93206877,
182,0,65244813,
183,0,45671369,
184,0,31969958,
185,0,22378970,
186,0,15665278,
