test-vm,vm-1,vm-2,vm-3,
0,8,0,0,
0,0,8,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
8,8,8,0,
0,0,0,8,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
8,0,0,0,
0,8,0,0,
0,0,8,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
32,32,40,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
168,168,504,168,
0,0,0,0,
0,0,0,24,
8,0,0,0,
0,8,0,0,
0,0,8,0,
0,0,0,0,
16,32,32,24,
504,16,16,16,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,8,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
8,0,0,0,
0,8,0,0,
0,0,8,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,8,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
72,5688,5990904,72,
0,5832,5971304,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
8,16,8,504,
0,0,8,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
728,17640,1549832,728,
0,681496,31168200,0,
0,671208,31624024,0,
0,703432,31392472,0,
0,665088,31412416,0,
0,705728,31443464,0,
0,690424,31416072,408,
0,691512,30802816,64,
0,719360,31976920,0,
0,697144,31480928,0,
0,703800,31188320,0,
0,690568,31664288,0,
0,4442768,31409648,21320,
0,92084080,31376072,509400,
0,92666272,31434600,575848,
0,92736208,31475144,412256,
0,92342456,31397960,338040,
0,92215280,31369864,315248,
0,87924720,29569024,259032,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
