t,vm1_cpu_m,vm1_cpu_ml,vm1_cpu_mh,vm2_cpu_m,vm2_cpu_ml,vm2_cpu_mh,vm1_net_m,vm1_net_ml,vm1_net_mh,vm2_net_m,vm2_net_ml,vm2_net_mh,
0,2.29,0.24,4.33,2.29,-0.37,4.94,2696.0,2614.01,2777.99,2.29,-1.48,6.05,
10,3.0,0.38,5.62,1.71,-0.26,3.69,7279.14,4972.89,9585.4,4711096.71,2250939.77,7171253.66,
20,6.29,2.45,10.13,7.86,-5.37,21.08,14931.43,14168.56,15694.3,12521503.71,12510745.82,12532261.61,
30,13.71,-4.9,32.33,2.43,0.3,4.55,14975.57,14451.78,15499.36,12523320.0,12515173.3,12531466.7,
40,2.0,-0.07,4.07,2.57,0.32,4.83,10363.43,7899.44,12827.42,7681666.71,5268336.84,10094996.59,
50,7.43,-6.8,21.65,8.57,-6.09,23.23,2675.71,2575.57,2775.86,2.43,-3.51,8.37,
60,1.71,-0.26,3.69,2.43,-0.23,5.09,2809.29,2700.41,2918.16,4.29,-2.57,11.14,
70,9.43,-4.86,23.71,7.43,-7.17,22.03,14014.57,6676.84,21352.3,9511667.43,4614342.83,14408992.02,
80,1.57,-0.92,4.07,3.14,0.4,5.89,28630.43,26547.78,30713.08,25076411.0,25010100.28,25142721.72,
90,2.0,-0.62,4.62,3.0,0.38,5.62,27942.0,26622.17,29261.83,25059566.43,24992388.01,25126744.84,
100,4.71,1.1,8.32,4.0,1.28,6.72,17396.43,12913.97,21878.89,15291046.86,10479714.96,20102378.75,
110,1.71,-0.26,3.69,1.71,0.23,3.2,2611.43,2510.42,2712.43,2.43,-3.51,8.37,
120,15.29,-2.24,32.81,13.0,-5.04,31.04,2689.29,2610.48,2768.09,4.29,-2.57,11.14,
130,2.29,-0.47,5.05,2.14,-0.39,4.67,28063.14,13630.07,42496.22,22544498.57,9326569.0,35762428.14,
140,5.71,1.99,9.44,5.71,2.1,9.32,65328.71,61277.39,69380.04,62648733.0,62454070.24,62843395.76,
150,6.0,2.11,9.89,4.57,1.12,8.03,62457.71,60564.96,64350.47,62670292.86,62472514.54,62868071.17,
