0,0,0,0,
10,0,0,2680,15,
20,0,0,2793,0,
30,0,0,2839,0,
40,0,0,2809,0,
50,10,0,2681,0,
60,0,0,2904,0,
70,0,0,2595,15,
80,4,7,2884,0,
90,4,0,2645,0,
100,4,1,2829,0,
110,4,3,2910,0,
120,4,3,2605,0,
130,4,3,2617,15,
140,4,3,2569,0,
150,4,3,2637,0,
160,4,4,2755,0,
170,45,3,2722,0,
180,0,3,2669,0,
190,0,3,2623,14,
200,0,3,2674,0,
210,0,3,2783,0,
220,0,3,2579,0,
230,0,44,2744,0,
240,0,0,2697,0,
250,0,0,2799,14,
260,10,0,2676,0,
270,0,0,2644,0,
280,2,0,2787,0,
290,4,0,2722,0,
300,4,0,2651,0,
310,4,0,2760,15,
320,4,0,2592,0,
330,5,0,2714,0,
340,4,0,2752,0,
350,4,4,2404,0,
360,4,2,2632,0,
370,4,3,2323,10,
380,42,3,2816,0,
390,0,3,2621,0,
400,0,3,1974,0,
410,0,3,2502,0,
420,0,3,2578,0,
430,0,3,2686,14,
440,0,3,2753,0,
450,0,3,2925,0,
460,0,3,2426,0,
470,8,38,2604,0,
480,0,0,2586,0,
490,4,0,2491,23,
500,4,0,2539,0,
510,4,0,2672,0,
520,4,0,2626,0,
530,4,0,2904,0,
540,4,0,2739,0,
550,4,0,2477,14,
560,5,0,2651,0,
570,4,5,2609,0,
580,41,0,2328,0,
590,0,1,2647,0,
600,0,3,2646,0,
610,0,3,2796,14,
620,0,3,2507,0,
630,0,3,2696,0,
640,0,3,2650,0,
650,0,3,2769,0,
660,11,4,2738,0,
670,0,3,2403,15,
680,0,4,2695,0,
690,3,3,2587,0,
700,4,3,2825,0,
710,3,2,2199,0,
720,4,41,2896,0,
730,4,0,2702,397329,
740,5,86,2582,95240,
750,4,0,2754,258709,
760,4,0,2610,0,
770,4,0,2866,0,
780,4,0,2893,0,
790,40,0,2620,15,
800,0,0,2909,0,
810,0,0,2662,0,
820,0,7,2879,0,
830,0,0,2397,0,
840,0,1,2904,0,
850,0,3,2764,14,
860,0,3,2748,0,
870,9,3,2690,0,
890,1,3,2511,0,
900,4,2,2770,0,
910,5,3,2728,14,
920,4,3,2610,0,
930,4,3,2569,0,
940,5,4,2806,0,
950,4,3,2625,0,
960,4,3,2798,0,
970,4,3,2533,14,
980,45,43,2696,0,
990,0,0,2852,0,
1000,0,0,2568,0,
1010,0,0,2493,0,
1020,0,0,2975,0,
1030,0,0,2774,15,
1040,0,0,2734,0,
1050,0,0,2799,0,
1060,0,0,2582,0,
1070,10,0,2615,0,
1080,0,0,2662,0,
1090,3,7,2623,15,
1100,3,0,2810,0,
1110,5,1,2275,0,
1120,4,3,2679,0,
1130,4,3,2643,0,
1140,5,3,2716,0,
