t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,
5,9990960,99909,199819,499548,999096,1998192,2997288,3996384,4995480,
6,25927680,358186,714376,1770954,3491954,6784089,9876405,12768902,15461580,
7,28689760,641501,1273883,3116894,6011734,11165223,15520411,19137245,22075670,
8,36460160,999687,1977608,4784057,9056576,16224210,21802335,26066411,29267915,
9,32061120,1310301,2579278,6147910,11357030,19391592,24879970,28464294,30664517,
10,31597120,1613169,3159634,7420370,13381039,21832697,26895115,29717424,31130818,
11,34806880,1945106,3792578,8789695,15523623,24427533,29268644,31753206,32968849,
12,31922880,2244883,4355184,9946354,17163548,25926602,30064914,31821075,32445864,
13,31714560,2539579,4902371,11034764,18618649,27084193,30559807,31778469,32080212,
14,31928640,2833469,5442896,12079457,19949648,28053082,30970456,31838537,32004426,
15,33006400,3135198,5994166,13125804,21255323,29043745,31581239,32305682,32505413,
16,29483200,3398678,6463946,13943673,22078110,29131636,30951827,31176689,30994306,
17,31250560,3677196,6959678,14809017,22995355,29555420,31041446,31206237,31122433,
18,32334880,3963772,7467182,15685310,23929307,30111312,31429476,31657694,31728656,
19,31404640,4238180,7945931,16471276,24676840,30369977,31422025,31556472,31566648,
20,31527840,4511076,8417569,17224104,25361940,30601549,31453769,31545019,31547244,
21,33352960,4799494,8916276,18030546,26161042,31151831,32023526,32268195,32450102,
22,30769280,5059191,9353336,18667482,26621865,31075320,31647252,31668629,31609691,
23,29488960,5303488,9756048,19208555,26908574,30758048,30999764,30796761,30549325,
24,31688000,5567333,10194687,19832527,27386516,30944038,31206234,31153256,31118662,
25,57775040,6089410,11146294,21729652,30425368,36310238,39176875,41801969,44446851,
26,67175680,6700272,12266881,24001953,34100399,42483326,47576516,51951453,55811265,
27,33247040,6965739,12686484,24464207,34015063,40636068,43277673,44469687,44529152,
28,30817600,7204257,13049106,24781876,33695316,38672374,39539651,39008852,37673376,
29,35472640,7486940,13497576,25316414,33873048,38032427,38319547,37594367,36573008,
30,30775040,7719821,13843125,25589345,33563247,36580949,36056194,34866636,33674024,
31,31651040,7959133,14199283,25892429,33372026,35594967,34734647,33580397,32662532,
32,29654560,8176087,14508388,26080535,33000279,34406885,33210620,32010062,31158546,
33,31009920,8404425,14838418,26327004,32801243,33727492,32550410,31610005,31084233,
34,29841280,8618793,15138475,26502717,32505246,32950249,31737671,30902515,30462756,
35,31362240,8846227,15462950,26745693,32390945,32632647,31625041,31086405,30912498,
36,29594880,9053713,15745588,26888152,32111338,32025093,31015992,30489795,30253689,
37,33370240,9296878,16098081,27212256,32237228,32294122,31722266,31641973,31811964,
38,30055200,9504461,16377223,27354403,32019025,31846337,31222146,31007263,30933582,
39,31464640,9724062,16678971,27559914,31963586,31769997,31294894,31190213,31199111,
