t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,7643520,2293056,
6,30554240,10771411,
7,36231200,18409347,
8,29926400,21864462,
9,28314560,23799491,
10,32461600,26398123,
11,32980000,28372686,
12,31410400,29284000,
13,29841280,29451184,
14,27016960,28720916,
15,31943680,29687745,
16,36396960,31700509,
17,28666880,30790420,
18,32744960,31376782,
19,30241920,31036323,
20,31874560,31287794,
21,38276000,33384255,
22,37342240,34571650,
23,30476640,33343147,
24,28672640,31941994,
25,51605440,37841027,
26,66630080,46477742,
27,30353600,41640499,
28,26664640,37147741,
29,36391200,36920778,
30,32349920,35549520,
31,28666880,33484728,
32,29259840,32217261,
33,30780800,31786322,
34,38435680,33781129,
35,29136640,32387782,
36,28890240,31338519,
37,25490240,29584035,
38,30534400,29869144,
39,25014720,28412816,
40,33289440,29875803,
41,30657600,30110342,
42,28320320,29573335,
43,23018240,27606806,
44,40730720,31543980,
45,45497280,35729970,
46,87206560,51172947,
47,75052000,58336662,
48,32275040,50518175,
49,30940640,44644914,
50,35161760,41799967,
51,30172800,38311816,
52,34153920,37064447,
53,34406400,36267032,
54,36861120,36445258,
55,28068160,33932128,
56,34938880,34234153,
57,31410560,33387075,
58,32066880,32991016,
59,28122240,31530383,
60,35644160,32764516,
61,33214720,32899577,
62,28992640,31727495,
63,34111520,32442702,
64,38447840,34244243,
65,56875840,41033722,
66,102699840,59533557,
67,78467200,65213649,
68,81324880,70047018,
69,33097280,58962096,
70,35915840,52048219,
71,28068160,44854201,
72,31287360,40784148,
73,33407040,38571015,
74,31175520,36352366,
75,28420480,33972800,
76,26905280,31852544,
77,29061760,31015308,
78,36807040,32752827,
79,34816320,33371874,
80,36039040,34172023,
81,26002880,31721280,
82,31100800,31535136,
83,28890240,30741667,
84,28079680,29943070,
85,59906160,38931997,
86,114455200,61588957,
87,79503840,66963421,
88,91562880,74343258,
89,65101360,71570688,
90,33172320,60051177,
91,35334240,52636095,
92,36039040,47656978,
93,31955200,42946444,
94,37187360,41218718,
95,30775040,38085614,
96,31843520,36212985,
97,32579200,35122849,
98,27134400,32726314,
99,33753600,33034499,
100,26899520,31194005,
101,39963040,33824715,
102,35219360,34243108,
103,32825600,33817855,
104,32516000,33427298,
105,58677280,41002292,
106,102577440,59474836,
107,108506400,74184305,
108,99648800,81823653,
109,75078080,79799981,
110,59821920,73806562,
111,29766400,60594513,
112,25848320,50170655,
113,31527840,44577810,
114,25496000,38853267,
115,38809440,38840118,
116,31576320,36660978,
117,41260480,38040828,
118,33407040,36650691,
119,26947840,33739835,
120,39450080,35452908,
121,31100800,34147275,
122,32350080,33608116,
123,26782080,31560305,
124,31298880,31481877,
125,14098400,26266833,
126,0,18386783,
127,0,12870748,
128,0,9009523,
129,0,6306666,
130,0,4414666,
