t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9566078,3826431,3816503,3836358
6,31590969,14932246,14926603,14937888
7,31450566,21539573,21513347,21565800
8,31442537,25500758,25489772,25511745
9,31504492,27902252,27895957,27908546
10,31516225,29347841,29341426,29354256
11,31513892,30214261,30209906,30218616
12,31508001,30731757,30725705,30737808
13,31517416,31046020,31042468,31049571
14,31505659,31229875,31224677,31235073
15,31511537,31342539,31339042,31346037
16,31515545,31411741,31406704,31416778
17,31505177,31449115,31444189,31454041
18,31515059,31475492,31470523,31480462
19,31506835,31488029,31482804,31493254
20,31509188,31496492,31491684,31501300
21,31517404,31504857,31498958,31510755
22,31509192,31506590,31502863,31510318
23,31513884,31509508,31504351,31514664
24,31510363,31509849,31502511,31517188
25,31513886,31511464,31506874,31516053
26,31506828,31509609,31505515,31513703
27,31511537,31510380,31505507,31515253
28,31513923,31511797,31506680,31516914
29,31503382,31508430,31503571,31513289
30,31512710,31510142,31505612,31514671
31,31517408,31513048,31507719,31518376
32,31509225,31511518,31506170,31516866
33,31510358,31511054,31507706,31514401
34,31511540,31511248,31507185,31515311
35,31504488,31508543,31502717,31514369
36,31517446,31512104,31506905,31517303
37,31505667,31509529,31504065,31514993
38,31518576,31513147,31510180,31516114
39,31509187,31511562,31506224,31516901
40,31509187,31510612,31505054,31516170
41,31517443,31513344,31509378,31517309
42,31510356,31512148,31508281,31516016
43,31510361,31511433,31507051,31515815
44,31508052,31510080,31505656,31514504
45,31506835,31508782,31505188,31512376
46,31512712,31510353,31506522,31514184
47,31513881,31511764,31506181,31517347
48,31513924,31512628,31509421,31515834
49,31506833,31510310,31505712,31514907
50,31517414,31513151,31510617,31515685
51,31506873,31510639,31504753,31516526
52,31499788,31506299,31504125,31508472
53,31522217,31512666,31509120,31516212
54,31509665,31511465,31507656,31515274
55,31511572,31511508,31506744,31516271
56,31521622,31515553,31511325,31519781
57,31512059,31514155,31509482,31518828
58,31501662,31509157,31504938,31513376
59,31526627,31516145,31511929,31520360
60,31499312,31509411,31502945,31515877
61,31508692,31509123,31504714,31513532
62,31513892,31511030,31506131,31515930
63,31518576,31514048,31510529,31517567
64,31502137,31509283,31505503,31513063
65,39507080,34708402,33884809,35531994
66,57679742,43896937,40754044,47039831
67,57910059,49502186,44945086,54059286
68,58019676,52909182,47475224,58343139
69,58125948,54995888,49026511,60965265
70,58227190,56288408,50018002,62558815
71,58423307,57142367,50675903,63608832
72,58444318,57663147,51070241,64256053
73,58452776,57978998,51317950,64640047
74,58603785,58228912,51504577,64953248
75,58471284,58325861,51573641,65078081
76,58361953,58340297,51591920,65088675
77,58123628,58253629,51515310,64991948
78,58303620,58273625,51530395,65016855
79,58655259,58426278,51650512,65202045
80,59135496,58709965,52506075,64913856
81,61608393,59869336,56279929,63458743
82,61668710,60589085,58529501,62648669
83,61400460,60913635,59727957,62099312
84,61777955,61259362,60547853,61970872
85,61712116,61440464,60855571,62025356
86,61571464,61492863,60823817,62161909
87,61921921,61664486,60915351,62413621
88,61805694,61720969,61031174,62410763
89,61335499,61566780,60862809,62270751
90,61384270,61493776,60837290,62150261
91,61448185,61475539,60846762,62104316
92,61069299,61313043,60480522,62145564
93,61106561,61230450,60266340,62194559
94,61388931,61293842,60410081,62177602
95,61498252,61375606,60586077,62165135
96,61515809,61431687,60685440,62177933
97,61477995,61450209,60707400,62193019
98,61497451,61469106,60727575,62210636
99,61248208,61380746,60604582,62156910
100,61497440,61427423,60627061,62227784
101,61611176,61500923,60683419,62318428
102,61503787,61502068,60743634,62260503
103,61520774,61509550,60673463,62345637
104,61322488,61434725,60580715,62288734
105,61448625,61440284,60623107,62257462
106,61653009,61525374,60706010,62344738
107,61838704,61650706,60855968,62445443
108,61699891,61670379,60966593,62374166
109,61341414,61538793,60806375,62271210
110,61517720,61530363,60800291,62260435
111,61460377,61502368,60823162,62181575
112,61501214,61501906,60823052,62180760
113,61602641,61542200,60838781,62245618
114,61622256,61574222,60868231,62280212
115,61717737,61631628,60957673,62305582
116,61909923,61742945,61238155,62247735
117,61612718,61690854,61128155,62253553
118,61556585,61637146,61123858,62150434
119,61192440,61459263,60796556,62121970
120,61515937,61481932,60807098,62156766
121,61042902,61306320,60557864,62054775
122,61111470,61228380,60362098,62094661
123,60642404,60993989,59839893,62148084
124,60795971,60914781,59576038,62253524
125,63234323,61842597,59815296,63869899
126,68808363,64628903,60992623,68265183
127,68135550,66031561,61315205,70747918
128,68688432,67094309,61729157,72459461
129,69097672,67895654,62139761,73651546
130,69080640,68369648,62391454,74347841
131,68829462,68553573,62497027,74610119
132,68742897,68629302,62493666,74764938
133,68420966,68545967,62307881,74784053
134,68612542,68572597,62323738,74821456
135,69406993,68906355,62753440,75059270
136,69675771,69214121,63131509,75296733
137,69123302,69177793,63088944,75266642
138,69636547,69361294,63288141,75434447
139,69464896,69402734,63228802,75576667
140,68844576,69179470,62978664,75380277
141,69499476,69307472,63017172,75597772
142,70210974,69668873,63328435,76009310
143,68517803,69208444,62814891,75601997
144,69277193,69235943,62877849,75594038
145,68828414,69072931,62647952,75497911
146,68603048,68884977,62495738,75274216
147,68745660,68829250,62440694,75217807
148,68310075,68621580,62223300,75019860
149,68486523,68567556,62239289,74895824
150,68337121,68475382,62140756,74810008
151,69001595,68685867,62398012,74973722
152,68670824,68679849,62438691,74921007
153,68742892,68705066,62474957,74935175
154,68983953,68816620,62540282,75092958
155,69126854,68940713,62730640,75150786
156,69239233,69060121,62903446,75216795
157,68955574,69018302,62887207,75149396
158,68592091,68847817,62687955,75007679
159,68472804,68697811,62532343,74863280
160,68621740,68667383,62440693,74894072
161,69009574,68804259,62512302,75096215
162,68576406,68713117,62361382,75064853
163,69001992,68828666,62501269,75156063
164,68558131,68720452,62316319,75124585
165,68924105,68801913,62334076,75269750
166,68139304,68536869,62009622,75064115
167,68561099,68546560,62085807,75007313
168,68709596,68611774,62256282,74967267
169,69750088,69067099,62550830,75583369
170,68828532,68971672,62628392,75314952
171,69205027,69065013,62489034,75640993
172,69781254,69351509,62956840,75746179
173,68602478,69051896,62657983,75445810
174,68968638,69018593,62688502,75348683
175,68204428,68692926,62397804,74988049
176,68309254,68539457,62115626,74963288
177,67817932,68250847,61755913,74745780
178,69267107,68657350,62241239,75073462
179,67344118,68132057,61597645,74666469
180,68133907,68132796,61619948,74645645
181,34728115,54770923,49318796,60223050
182,0,32862553,29591277,36133830
183,0,19717531,17754766,21680297
184,0,11830518,10652859,13008178
185,0,7098310,6391715,7804906
186,0,4258986,3835028,4682943
