t,data,a0.2,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,12613920,2522784,
6,34459040,8910035,
7,37928000,14713628,
8,33060480,18382998,
9,30669120,20840222,
10,30299520,22732081,
11,30705920,24326848,
12,33048960,26071270,
13,33951680,27647352,
14,29643200,28046521,
15,31416320,28720480,
16,34623840,29901152,
17,31811200,30283161,
18,35162880,31259104,
19,33455360,31698355,
20,31121600,31583004,
21,33587840,31983971,
22,32883200,32163816,
23,30545920,31840236,
24,34394880,32351164,
25,30353600,31951651,
26,30769280,31715176,
27,29648960,31301932,
28,32109440,31463433,
29,34111840,31993114,
30,30871840,31768859,
31,28869440,31188975,
32,33235520,31598284,
33,28420480,30962723,
34,33283840,31426946,
35,29895200,31120596,
36,33358720,31568220,
37,32627520,31780080,
38,28565440,31137152,
39,28116480,30533017,
40,34271520,31280717,
41,28700160,30764605,
42,27615680,30134820,
43,28537920,29815440,
44,27818080,29415968,
45,28661120,29264998,
46,31528000,29717598,
47,31874560,30148990,
48,32627520,30644696,
49,31708800,30857516,
50,30299520,30745916,
51,31816800,30960092,
52,33711040,31510281,
53,32900480,31788320,
54,31570560,31744768,
55,31452960,31686406,
56,31527840,31654692,
57,34084960,32140745,
58,28869440,31486484,
59,30754240,31340035,
60,30182080,31108444,
61,33476160,31581987,
62,33263040,31918197,
63,34160160,32366589,
64,29221760,31737623,
65,39396480,33269394,
66,73876640,41390843,
67,58116480,44735970,
68,62901760,48369128,
69,61053760,50906054,
70,64342080,53593259,
71,65501600,55974927,
72,65244800,57828901,
73,63285120,58920144,
74,70448640,61225843,
75,73330880,63646850,
76,58957120,62708904,
77,61998880,62566899,
78,63658240,62785167,
79,66115200,63451173,
80,68490560,64459050,
81,64316800,64430600,
82,59174720,63379424,
83,60493120,62802163,
84,61086080,62458946,
85,64998400,62966836,
86,61881600,62749788,
87,59719360,62143702,
88,59249440,61564849,
89,68597440,62971367,
90,63242560,63025605,
91,65768640,63574212,
92,58144320,62488233,
93,61896640,62369914,
94,62574720,62410875,
95,58358240,61600348,
96,61113280,61502934,
97,65212320,62244811,
98,67298880,63255624,
99,61300000,62864499,
100,61288640,62549327,
101,66034560,63246373,
102,63248320,63246762,
103,61016800,62800769,
104,60104960,62261607,
105,57963520,61401989,
106,59346400,60990871,
107,61827520,61158200,
108,64284320,61783424,
109,69413600,63309459,
110,67129600,64073487,
111,63760640,64010917,
112,58235200,62855773,
113,61354240,62555466,
114,65479520,63140276,
115,61400320,62792284,
116,74149280,65063683,
117,63434880,64737922,
118,62537920,64297921,
119,58759200,63190176,
120,58920320,62336204,
121,58192640,61507491,
122,59659520,61137896,
123,65106400,61931596,
124,63691360,62283548,
125,70961600,64019158,
126,80987200,67412766,
127,89384160,71807044,
128,88947040,75235043,
129,105661440,81320322,
130,93713760,83799009,
131,110505920,89140391,
132,101283680,91569048,
133,109377600,95130758,
134,85096320,93123870,
135,84755680,91450232,
136,81906720,89541529,
137,102482880,92129799,
138,77421280,89188095,
139,94976480,90345772,
140,94460000,91168617,
141,105752320,94085357,
142,82620160,91792317,
143,82452000,89924253,
144,103349440,92609290,
145,95689280,93225288,
146,101097280,94799686,
147,77751040,91389956,
148,65651200,86242204,
149,92400800,87473923,
150,112781280,92535394,
151,111913440,96411003,
152,109354720,98999746,
153,69210880,93041972,
154,90052000,92443977,
155,72626240,88480429,
156,97161920,90216727,
157,101160480,92405477,
158,93303840,92585149,
159,83731200,90814359,
160,97881760,92227839,
161,84905280,90763327,
162,74187680,87448197,
163,99462400,89851037,
164,94285440,90737917,
165,108029920,94196317,
166,88856000,93128253,
167,93078080,93118218,
168,88222240,92139022,
169,89668800,91644977,
170,97411840,92798349,
171,97829600,93804599,
172,113320320,97707743,
173,111416800,100449554,
174,105499840,101459611,
175,91072000,99382088,
176,84788160,96463302,
177,85604480,94291537,
178,93530560,94139341,
179,87483520,92808176,
180,91220640,92490668,
181,49123040,83817142,
182,0,67053713,
183,0,53642970,
184,0,42914376,
185,0,34331500,
186,0,27465200,
