t,data0,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data1,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data2,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,6224320,62243,124486,311216,622432,1244864,1867296,2489728,3112160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,37503840,436658,872073,2170847,4310572,8496659,12558259,16495372,20308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,35409120,786382,1562813,3832760,7420426,13879151,19413517,24060871,27858560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,39710880,1175626,2325774,5626666,10649471,19045496,25502725,30320874,33784720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,33505120,1498920,2949360,7020588,12935035,21937420,27903443,31594572,33644920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,27950720,1763438,3449387,8067094,14436603,23140080,27917626,30137031,30797820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,45118880,2196992,4282776,9919683,17504830,27535840,33078002,36129770,37958350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,32890880,2503930,4854938,11068242,19043435,28606848,33021865,34834214,35424615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,37494400,2853834,5507727,12389549,20888531,30384358,34363625,35898288,36459507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,31271840,3138014,6023009,13333663,21926861,30561854,33436089,34047708,33865673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,24550720,3352141,6393563,13894515,22189246,29359627,30770478,30248912,29208196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,24728320,3565902,6760258,14436205,22443153,28433365,28957830,28040675,26968258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,29068480,3820927,7206422,15167818,23105685,28560388,28991025,28451797,28018369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,30391040,4086628,7670114,15928979,23834220,28926518,29411029,29227494,29204704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,26733600,4313097,8051383,16469210,24124158,28487934,28607800,28229936,27969152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,40147360,4671439,8693302,17653117,25726478,30819819,32069668,32996905,34058256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,31057600,4935300,9140587,18323341,26259590,30867375,31766047,32221183,32557928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,24700000,5132947,9451775,18642173,26103631,29633900,29646232,29212709,28628964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,27447200,5356089,9811683,19082424,26237987,29196560,28986522,28506505,28038082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,30847520,5611003,10232399,19670678,26698940,29526752,29544821,29442911,29442801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,31285600,5867748,10653463,20251424,27157606,29878521,30067054,30179986,30364200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,30027360,6109344,11040940,20740220,27444581,29908288,30055145,30118935,30195780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,32344800,6371698,11467017,21320449,27934602,30395590,30742041,31009281,31270290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,34389760,6651878,11925471,21973914,28580117,31194424,31836356,32361472,32830025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,20268960,6788048,12092340,21888666,27749001,29009331,28366137,27524467,26549492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,31597120,7036138,12482435,22374088,28133812,29526888,29335431,29153528,29073306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,45240480,7418181,13137595,23517407,29844478,32669606,34106945,35588308,37156893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,35780800,7701807,13590459,24130576,30438110,33291844,34609101,35665304,36468846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,30828640,7933075,13935222,24465479,30477163,32799203,33474962,33730638,33648743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,32072640,8174470,14297970,24845837,30636710,32653890,33054265,33067438,32860691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,29524640,8387971,14602503,25079777,30525503,32028040,31995377,31650318,31192665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,24722400,8551315,14804900,25061908,29945192,30566912,29813483,28879150,27957532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,43276000,8898561,15374322,25972612,31278272,33108729,33852238,34637890,35616766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,25302560,9062600,15572886,25939109,30680700,31547495,31287334,30903758,30459663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,35328640,9325260,15968001,26408585,31145494,32303724,32499725,32673710,32894151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,28079680,9512804,16210234,26492139,30838912,31458915,31173711,30836098,30486915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,34752960,9765205,16581088,26905180,31230316,32117724,32247485,32402842,32619937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,27128640,9938839,16792039,26916353,30820148,31119907,30711831,30293161,29874288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,31688000,10156330,17089958,27154935,30906933,31233525,31004681,30851096,30781144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,27844800,10333214,17305054,27189428,30600719,30555780,30056716,29648577,29312972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,31356480,10543446,17586082,27397780,30676295,30715920,30446645,30331738,30334726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,31181440,10749825,17857989,27586963,30726809,30809024,30667083,30671618,30758083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,30112800,10943454,18103085,27713254,30665408,30669779,30500798,30448090,30435441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,29939840,11133417,18339820,27824583,30592851,30523791,30332510,30244790,30187640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,31470240,11336785,18602428,28006865,30680589,30713080,30673829,30734970,30828940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,32163520,11545052,18873649,28214697,30828882,31003168,31120736,31306390,31496230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,31949440,11749095,19135164,28401434,30940937,31192422,31369347,31563610,31722835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,30284160,11934445,19358143,28495570,30875259,31010769,31043790,31051830,31003497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,33118080,12146281,19633341,28726695,31099541,31432231,31666077,31878330,32060788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,29013440,12314952,19820942,28741032,30890930,30948472,30870285,30732374,30537114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,33135360,12523156,20087230,28960748,31115373,31385849,31549807,31693568,31836237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,30465280,12702577,20294791,29035974,31050363,31201735,31224448,31202252,31150758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,32163520,12897186,20532165,29192351,31161678,31394092,31506169,31586759,31657139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,29360000,13061814,20708721,29200733,30981510,30987273,30862318,30696055,30508569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,31473920,13245935,20924024,29314392,31030751,31084602,31045798,31007201,30991244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,30513600,13418611,21115815,29374352,30979035,30970401,30886138,30809760,30752422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,29808800,13582512,21289674,29396074,30862011,30738080,30562936,30409376,30280611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,31239040,13759077,21488661,29488222,30899713,30838272,30765767,30741241,30759825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,29456640,13916052,21648020,29486642,30755405,30561945,30373028,30227400,30108232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,30347840,14080369,21822016,29529701,30714648,30519124,30365471,30275576,30228036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,31058240,14250147,22006740,29606127,30749007,30626947,30573301,30588641,30643138,21420960,214209,428419,1071048,2142096,4284192,6426288,8568384,10710480,0,0,0,0,0,0,0,0,0,
66,32419200,14431837,22214989,29746780,30916026,30985397,31127070,31320864,31531169,70576480,917831,1831380,4546319,8985534,17542649,25671345,33371622,40643480,0,0,0,0,0,0,0,0,0,
67,29510720,14582625,22360903,29734977,30775495,30690461,30642165,30596806,30520944,72589440,1634547,3246541,7948475,15345924,28552007,39746773,49058749,56616460,0,0,0,0,0,0,0,0,0,
