t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,3591360,3591360,3591360,3591360,3591360,3591360,3591360,3591360,3591360,
20,29692160,3852368,4113376,4896400,6201440,8811520,11421600,14031680,16641760,
30,32002160,4133865,4671151,6251688,8781512,13449648,17595768,21219872,24321960,
40,29678800,4389314,5171303,7423043,10871240,16695478,21220677,24603443,27000380,
50,37144320,4716864,5810763,8909106,13498548,20785246,25997769,29619793,32072350,
60,38387920,5053574,6462306,10383046,15987485,24305780,29714814,33127043,35230135,
70,44054800,5443586,7214155,12066633,18794216,28255584,34016809,37498145,39642467,
80,42065520,5809805,7911182,13566577,21121346,31017571,36431422,39325095,40853993,
90,37274640,6124453,8498451,14751980,22736675,32268984,36684387,38504913,39064316,
100,52138720,6584595,9371256,16621317,25676879,36242931,41320686,43958435,45601518,
110,38295360,6901702,9949738,17705019,26938727,36653416,40413088,41693205,41948439,
120,51060560,7343290,10771954,19372796,29350910,39534844,43607329,45440147,46504499,
130,25645520,7526312,11069425,19686432,28980371,36756979,38218786,37522296,36075009,
