EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-1] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,
5,5077888,50778,101557,253894,507788,1015577,1523366,2031155,2538944,
6,35022336,400493,799972,1992316,3959242,7816928,11573056,15227627,18780640,
7,38107904,777567,1546130,3798095,7374108,13875123,19533510,24379737,28444272,
8,26385664,1033647,2042920,4927473,9275263,16377231,21589156,25182107,27414968,
9,26118656,1284497,2524434,5987032,10959602,18325516,22948006,25556726,26766812,
10,45718016,1728832,3388305,7973581,14435443,23804016,29779009,33621242,36242414,
11,24954624,1961089,3819631,8822633,15487361,24034137,28331693,30154594,30598519,
12,25981184,2201289,4262862,9680560,16536743,24423546,27626540,28485230,28289851,
13,39307520,2572351,4963755,11161908,18813820,27400340,31130834,32814146,33798685,
14,33829632,2884923,5541072,12295294,20315401,28686198,31940473,33220340,33814158,
15,34581248,3201886,6121875,13409591,21741985,29865208,32732705,33764703,34197703,
16,40312320,3572990,6805683,14754727,23599018,31954630,35006589,36383749,37255011,
17,50972416,4046984,7689017,16565611,26336357,35758187,39796337,42219215,44113713,
18,34624768,4352761,8227732,17468568,27165198,35531503,38244866,39181436,39369240,
19,49563136,4804864,9054440,19073296,29404991,38337829,41640347,43334116,44466188,
20,34588160,5102696,9565114,19849039,29923307,37587895,39524690,39835733,39527174,
21,19476736,5246436,9763346,19830423,28878649,33965663,33510303,31692134,29501955,
22,47033344,5664305,10508745,21190569,30694118,36579199,37567215,37828618,38267649,
23,46115584,6068817,11220881,22436819,32236264,38486476,40131725,41143404,42191616,
24,43694592,6445074,11870355,23499707,33382096,39528099,41200585,42163879,42943104,
25,29645312,6677076,12225854,23806987,33008417,37551541,37734003,37156452,36294208,
26,22107392,6831379,12423484,23722007,31918314,34462711,33046019,31136828,29200800,
27,27014656,7033211,12715307,23886639,31427948,32973100,31236610,29487959,28107728,
28,30866688,7271545,13078334,24235641,31371822,32551817,31125633,30039450,29487208,
29,28221184,7481041,13381191,24434918,31056758,31685690,30254298,29312143,28854196,
30,26544896,7671679,13644465,24540416,30605571,30657531,29141477,28205244,27699546,
31,16354560,7758507,13698666,24131123,29180469,27796936,25305401,23464970,22027053,
32,34841344,8029335,14121519,24666634,29746556,29205817,28166183,28015519,28434198,
33,25533184,8204373,14349752,24709961,29325218,28471290,27376283,27022585,26983691,
34,17879552,8301124,14420347,24368440,28180651,26352942,24527263,23365371,22431621,
35,33663488,8554747,14805209,24833192,28728934,27815051,27268130,27484617,28047554,
36,30772736,8776926,15124559,25130169,28933314,28406588,28319511,28799864,29410145,
37,51116800,9200324,15844403,26429500,31151662,32948630,35158697,37726638,40263472,
