t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,
5,13203712,132037,264074,660185,1320371,2640742,3961113,5281484,6601856,
6,33967104,470387,938134,2325530,4585044,8906014,12962910,16755732,20284480,
7,26833664,734019,1456044,3550936,6809906,12491544,17124136,20786904,23559072,
8,35029248,1076971,2127508,5124851,9631840,16999084,22495669,26483841,29294160,
9,26949376,1335695,2623945,6216077,11363593,18989142,23831781,26670055,28121768,
10,35195392,1674291,3275373,7665042,13746772,22230392,27240864,30080189,31658580,
11,35405056,2011598,3917966,9052042,15912600,24865324,29690121,32210135,33531818,
12,22432768,2215809,4288262,9721078,16564616,24378812,27512915,28299188,27982293,
13,21919488,2412845,4640886,10330998,17100103,23886947,25834886,25747308,24950890,
14,21869056,2607407,4985449,10907900,17576998,23483368,24645137,24196007,23409973,
15,27999232,2861325,5445724,11762466,18619221,24386540,25651365,25717297,25704602,
16,61639424,3449105,6569598,14256313,22921241,31837116,36447782,40086147,43672013,
17,37739008,3792004,7192986,15430447,24403017,33017494,36835149,39147291,40705510,
18,69198080,4446064,8433087,18118828,28882523,40253611,46544028,51167606,54951795,
19,52532992,4926933,9315085,19839536,31247569,42709487,48340717,51713760,53742393,
20,44005120,5317714,10008885,21047815,32523324,42968613,47040037,48630304,48873756,
21,74864896,6013185,11306005,23738669,36757481,49347869,55387494,59124140,61869326,
22,47315200,6426205,12026188,24917495,37813252,48941335,52965805,54400564,54592263,
23,41988608,6781829,12625436,25771050,38230787,47550789,49672645,49435781,48290435,
24,52742656,7241437,13427780,27119630,39681973,48589162,50593648,50758531,50516545,
25,77203584,7941058,14703296,29623827,43434134,54312046,58576628,61336552,63860064,
26,127556096,9137208,16960352,34520440,51846330,68960856,79270468,87824369,95708080,
27,112214272,10167978,18865430,38405131,57883124,77611539,89153609,97580330,103961176,
28,97759488,11043893,20443311,41372848,61870760,81641128,91735372,97651993,100860332,
29,85206528,11785519,21738575,43564532,64204336,82354208,89776718,92673807,93033430,
30,95150592,12619169,23206815,46143835,67298961,84913484,91388880,93664521,94092011,
31,86261760,13355594,24467913,48149731,69195240,85183139,89850744,90703416,90176885,
32,96003072,14182068,25898616,50542398,71876023,87347125,91696442,92823278,93089978,
33,124825600,15288503,27877155,54256558,77170980,94842820,101635189,105624206,108957789,
34,91617024,16051788,29151952,56124581,78615584,94197660,98629739,100021333,100287406,
35,99638528,16887655,30561683,58300278,80717878,95285833,98932375,99868211,99962967,
36,86290432,17581682,31676257,59699785,81275133,93486752,95139792,94437099,93126699,
37,103866368,18444528,33120059,61908114,83534256,95562675,97757764,98208806,98496533,
38,90004992,19160132,34257757,63312957,84181329,94451138,95431932,94927280,94250762,
39,92534784,19893878,35423297,64774048,85016674,94067867,94562787,93970281,93392773,
40,123878144,20933720,37192393,67729252,88902821,100029922,103357394,105933426,108635458,
41,96408576,21688468,38376716,69163218,89653396,99305652,101272748,102123486,102522017,
42,65750528,22129088,38924192,68992583,87263109,92594627,90616082,87574302,84136272,
43,100492032,22912717,40155548,70567555,88586001,94174108,93578867,92741394,92314152,
44,67189504,23355484,40696227,70398652,86446351,88777187,85662058,82520638,79751828,
45,103186944,24153798,41946041,72038066,88120410,91659138,90919523,90787160,91469386,
46,75630336,24668563,42619726,72217679,86871402,88453377,86332766,84724430,83549861,
47,63604480,25057922,43039421,71787019,84544709,83483597,79514280,76276450,73577170,
48,88429568,25691638,43947223,72619146,84933194,84472791,82188866,81137697,81003369,
49,66994688,26104668,44408172,72337923,83139343,80977170,77630612,75480493,73999028,
50,65917696,26502798,44838362,72016911,81417178,77965275,74116737,71655374,69958362,
51,55062784,26788397,45042850,71169204,78781738,73384776,68400551,65018338,62510573,
52,88335616,27403869,45908705,72027524,79737125,76374944,74381070,74345249,75423094,
53,74828288,27878113,46487096,72167562,79246241,76065612,74515235,74538464,75125691,
54,108919040,28688522,47735734,74005135,82213520,82636297,84836376,88290694,92022365,
55,84953344,29251170,48480086,74552545,82487502,83099706,84871466,86955754,88487854,
56,66179712,29620455,48834078,74133903,80856723,79715707,79263939,78645337,77333783,
57,85943296,30183683,49576262,74724372,81365380,80961224,81267746,81564520,81638539,
58,76064512,30642491,50106027,74791378,80835293,79981881,79706775,79364516,78851525,
59,103802112,31374087,51179948,76241914,83131974,84745927,86935376,89139554,91326818,
60,107227904,32132625,52300907,77791213,85541567,89242322,93023134,96374894,99277361,
61,49570048,32306999,52246289,76380154,81944415,81307867,79987208,77652955,74423704,
62,0,31983929,51201363,72561146,73749973,65046293,55991045,46591773,37211852,
63,0,31664089,50177335,68933088,66374975,52037034,39193731,27955063,18605926,
64,0,31347448,49173788,65486433,59737477,41629627,27435611,16773037,9302963,
65,0,31033973,48190312,62212111,53763729,33303701,19204927,10063822,4651481,
66,0,30723633,47226505,59101505,48387356,26642960,13443448,6038293,2325740,
